0.462585034014 - [485, 'merriss-s.txt']
0.465753424658 - [563, 'linder-e.txt']
0.468965517241 - [640, 'phanis-s.txt']
0.472222222222 - [1222, 'king-j.txt']
0.475524475524 - [1921, 'townsend-j.txt']
0.478873239437 - [2289, 'ermis-f.txt']
0.482269503546 - [2604, 'motley-m.txt']
0.485714285714 - [3117, 'meyers-a.txt']
0.489208633094 - [3133, 'gilbertsmith-d.txt']
0.492753623188 - [3864, 'south-s.txt']
0.496350364964 - [4038, 'benson-r.txt']
0.492647058824 - [4343, 'maggi-m.txt']
0.496296296296 - [5472, 'shapiro-r.txt']
0.5 - [6464, 'williams-j.txt']
0.503759398496 - [6502, 'badeer-r.txt']
0.507575757576 - [6502, 'bailey-s.txt']
0.511450381679 - [7376, 'saibi-e.txt']
0.515384615385 - [7909, 'panus-s.txt']
0.511627906977 - [8044, 'dean-c.txt']
0.515625 - [9034, 'reitmeyer-j.txt']
0.51968503937 - [9839, 'griffith-j.txt']
0.515873015873 - [10756, 'gang-l.txt']
0.52 - [10833, 'solberg-g.txt']
0.524193548387 - [11116, 'may-l.txt']
0.528455284553 - [11231, 'slinger-r.txt']
0.532786885246 - [11373, 'arora-h.txt']
0.537190082645 - [12382, 'mckay-b.txt']
0.541666666667 - [12939, 'pimenov-v.txt']
0.546218487395 - [13202, 'stepenovitch-j.txt']
0.550847457627 - [13874, 'swerzbin-m.txt']
0.555555555556 - [13990, 'donohoe-t.txt']
0.560344827586 - [14776, 'holst-k.txt']
0.55652173913 - [15050, 'quenet-j.txt']
0.561403508772 - [15865, 'lokey-t.txt']
0.566371681416 - [17087, 'hodge-j.txt']
0.571428571429 - [17145, 'salisbury-h.txt']
0.576576576577 - [17165, 'staab-t.txt']
0.581818181818 - [17392, 'storey-g.txt']
0.587155963303 - [17965, 'wolfe-j.txt']
0.592592592593 - [18488, 'scholtes-d.txt']
0.598130841121 - [18649, 'ring-r.txt']
0.603773584906 - [19107, 'whalley-g.txt']
0.6 - [19288, 'lewis-a.txt']
0.605769230769 - [19876, 'platter-p.txt']
0.601941747573 - [21285, 'keavey-p.txt']
0.598039215686 - [21684, 'fischer-m.txt']
0.60396039604 - [23261, 'rapp-b.txt']
0.6 - [25341, 'baughman-d.txt']
0.606060606061 - [25421, 'sanchez-m.txt']
0.612244897959 - [27239, 'dickson-s.txt']
0.618556701031 - [30068, 'ybarbo-p.txt']
0.625 - [30691, 'hendrickson-s.txt']
0.631578947368 - [30718, 'whitt-m.txt']
0.63829787234 - [30792, 'mccarty-d.txt']
0.634408602151 - [32203, 'ring-a.txt']
0.641304347826 - [35632, 'schwieger-j.txt']
0.648351648352 - [37224, 'lucci-p.txt']
0.655555555556 - [37553, 'zufferli-j.txt']
0.651685393258 - [41447, 'carson-m.txt']
