0.65306122449 - [269, 'merriss-s.txt']
0.650684931507 - [313, 'linder-e.txt']
0.655172413793 - [356, 'phanis-s.txt']
0.659722222222 - [679, 'king-j.txt']
0.657342657343 - [1067, 'townsend-j.txt']
0.661971830986 - [1272, 'ermis-f.txt']
0.666666666667 - [1447, 'motley-m.txt']
0.671428571429 - [1732, 'meyers-a.txt']
0.669064748201 - [1741, 'gilbertsmith-d.txt']
0.666666666667 - [2147, 'south-s.txt']
0.671532846715 - [2243, 'benson-r.txt']
0.669117647059 - [2413, 'maggi-m.txt']
0.674074074074 - [3040, 'shapiro-r.txt']
0.679104477612 - [3591, 'williams-j.txt']
0.684210526316 - [3612, 'badeer-r.txt']
0.689393939394 - [3612, 'bailey-s.txt']
0.69465648855 - [4098, 'saibi-e.txt']
0.692307692308 - [4394, 'panus-s.txt']
0.697674418605 - [4469, 'dean-c.txt']
0.703125 - [5019, 'reitmeyer-j.txt']
0.708661417323 - [5466, 'griffith-j.txt']
0.714285714286 - [5976, 'gang-l.txt']
0.72 - [6018, 'solberg-g.txt']
0.717741935484 - [6176, 'may-l.txt']
0.723577235772 - [6239, 'slinger-r.txt']
0.729508196721 - [6318, 'arora-h.txt']
0.727272727273 - [6879, 'mckay-b.txt']
0.733333333333 - [7188, 'pimenov-v.txt']
0.731092436975 - [7334, 'stepenovitch-j.txt']
0.737288135593 - [7708, 'swerzbin-m.txt']
0.74358974359 - [7772, 'donohoe-t.txt']
0.75 - [8209, 'holst-k.txt']
0.747826086957 - [8361, 'quenet-j.txt']
0.754385964912 - [8814, 'lokey-t.txt']
0.761061946903 - [9493, 'hodge-j.txt']
0.758928571429 - [9525, 'salisbury-h.txt']
0.756756756757 - [9536, 'staab-t.txt']
0.763636363636 - [9662, 'storey-g.txt']
0.752293577982 - [9981, 'wolfe-j.txt']
0.759259259259 - [10271, 'scholtes-d.txt']
0.766355140187 - [10361, 'ring-r.txt']
0.764150943396 - [10615, 'whalley-g.txt']
0.761904761905 - [10716, 'lewis-a.txt']
0.769230769231 - [11042, 'platter-p.txt']
0.766990291262 - [11825, 'keavey-p.txt']
0.764705882353 - [12047, 'fischer-m.txt']
0.772277227723 - [12923, 'rapp-b.txt']
0.78 - [14078, 'baughman-d.txt']
0.787878787879 - [14123, 'sanchez-m.txt']
0.795918367347 - [15133, 'dickson-s.txt']
0.80412371134 - [16704, 'ybarbo-p.txt']
0.802083333333 - [17051, 'hendrickson-s.txt']
0.810526315789 - [17066, 'whitt-m.txt']
0.81914893617 - [17107, 'mccarty-d.txt']
0.817204301075 - [17891, 'ring-a.txt']
0.826086956522 - [19796, 'schwieger-j.txt']
0.835164835165 - [20680, 'lucci-p.txt']
0.833333333333 - [20863, 'zufferli-j.txt']
0.820224719101 - [23026, 'carson-m.txt']
0.829545454545 - [23438, 'geaccone-t.txt']
0.83908045977 - [24194, 'parks-j.txt']
0.837209302326 - [25881, 'semperger-c.txt']
