0.632653061224 - [269, 'merriss-s.txt']
0.630136986301 - [313, 'linder-e.txt']
0.634482758621 - [356, 'phanis-s.txt']
0.638888888889 - [679, 'king-j.txt']
0.636363636364 - [1067, 'townsend-j.txt']
0.640845070423 - [1272, 'ermis-f.txt']
0.645390070922 - [1447, 'motley-m.txt']
0.65 - [1732, 'meyers-a.txt']
0.654676258993 - [1741, 'gilbertsmith-d.txt']
0.652173913043 - [2147, 'south-s.txt']
0.656934306569 - [2243, 'benson-r.txt']
0.654411764706 - [2413, 'maggi-m.txt']
0.659259259259 - [3040, 'shapiro-r.txt']
0.664179104478 - [3591, 'williams-j.txt']
0.669172932331 - [3612, 'badeer-r.txt']
0.674242424242 - [3612, 'bailey-s.txt']
0.679389312977 - [4098, 'saibi-e.txt']
0.676923076923 - [4394, 'panus-s.txt']
0.682170542636 - [4469, 'dean-c.txt']
0.6875 - [5019, 'reitmeyer-j.txt']
0.692913385827 - [5466, 'griffith-j.txt']
0.698412698413 - [5976, 'gang-l.txt']
0.704 - [6018, 'solberg-g.txt']
0.701612903226 - [6176, 'may-l.txt']
0.707317073171 - [6239, 'slinger-r.txt']
0.713114754098 - [6318, 'arora-h.txt']
0.710743801653 - [6879, 'mckay-b.txt']
0.716666666667 - [7188, 'pimenov-v.txt']
0.714285714286 - [7334, 'stepenovitch-j.txt']
0.720338983051 - [7708, 'swerzbin-m.txt']
0.726495726496 - [7772, 'donohoe-t.txt']
0.73275862069 - [8209, 'holst-k.txt']
0.730434782609 - [8361, 'quenet-j.txt']
0.736842105263 - [8814, 'lokey-t.txt']
0.743362831858 - [9493, 'hodge-j.txt']
0.741071428571 - [9525, 'salisbury-h.txt']
0.738738738739 - [9536, 'staab-t.txt']
0.745454545455 - [9662, 'storey-g.txt']
0.752293577982 - [9981, 'wolfe-j.txt']
0.759259259259 - [10271, 'scholtes-d.txt']
0.766355140187 - [10361, 'ring-r.txt']
0.764150943396 - [10615, 'whalley-g.txt']
0.761904761905 - [10716, 'lewis-a.txt']
0.769230769231 - [11042, 'platter-p.txt']
0.766990291262 - [11825, 'keavey-p.txt']
0.764705882353 - [12047, 'fischer-m.txt']
0.772277227723 - [12923, 'rapp-b.txt']
0.78 - [14078, 'baughman-d.txt']
0.787878787879 - [14123, 'sanchez-m.txt']
0.795918367347 - [15133, 'dickson-s.txt']
0.80412371134 - [16704, 'ybarbo-p.txt']
0.802083333333 - [17051, 'hendrickson-s.txt']
0.810526315789 - [17066, 'whitt-m.txt']
0.81914893617 - [17107, 'mccarty-d.txt']
0.817204301075 - [17891, 'ring-a.txt']
0.826086956522 - [19796, 'schwieger-j.txt']
0.835164835165 - [20680, 'lucci-p.txt']
0.833333333333 - [20863, 'zufferli-j.txt']
0.831460674157 - [23026, 'carson-m.txt']
0.840909090909 - [23438, 'geaccone-t.txt']
0.850574712644 - [24194, 'parks-j.txt']
0.848837209302 - [25881, 'semperger-c.txt']
