0.763513513514 - [485, 'merriss-s.txt']
0.761904761905 - [563, 'linder-e.txt']
0.767123287671 - [640, 'phanis-s.txt']
0.772413793103 - [1222, 'king-j.txt']
0.770833333333 - [1921, 'townsend-j.txt']
0.769230769231 - [2289, 'ermis-f.txt']
0.774647887324 - [2604, 'motley-m.txt']
0.77304964539 - [3117, 'meyers-a.txt']
0.778571428571 - [3133, 'gilbertsmith-d.txt']
0.755395683453 - [3864, 'south-s.txt']
0.753623188406 - [4038, 'benson-r.txt']
0.759124087591 - [4343, 'maggi-m.txt']
0.757352941176 - [5472, 'shapiro-r.txt']
0.762962962963 - [6464, 'williams-j.txt']
0.768656716418 - [6502, 'badeer-r.txt']
0.766917293233 - [6502, 'bailey-s.txt']
0.765151515152 - [7376, 'saibi-e.txt']
0.763358778626 - [7909, 'panus-s.txt']
0.761538461538 - [8044, 'dean-c.txt']
0.751937984496 - [9034, 'reitmeyer-j.txt']
0.75 - [9839, 'griffith-j.txt']
0.755905511811 - [10756, 'gang-l.txt']
0.753968253968 - [10833, 'solberg-g.txt']
0.752 - [11116, 'may-l.txt']
0.758064516129 - [11231, 'slinger-r.txt']
0.764227642276 - [11373, 'arora-h.txt']
0.770491803279 - [12382, 'mckay-b.txt']
0.768595041322 - [12939, 'pimenov-v.txt']
0.775 - [13202, 'stepenovitch-j.txt']
0.773109243697 - [13874, 'swerzbin-m.txt']
0.779661016949 - [13990, 'donohoe-t.txt']
0.777777777778 - [14776, 'holst-k.txt']
0.784482758621 - [15050, 'quenet-j.txt']
0.782608695652 - [15865, 'lokey-t.txt']
0.780701754386 - [17087, 'hodge-j.txt']
0.787610619469 - [17145, 'salisbury-h.txt']
0.785714285714 - [17165, 'staab-t.txt']
0.783783783784 - [17392, 'storey-g.txt']
0.790909090909 - [17965, 'wolfe-j.txt']
0.788990825688 - [18488, 'scholtes-d.txt']
0.787037037037 - [18649, 'ring-r.txt']
0.785046728972 - [19107, 'whalley-g.txt']
0.783018867925 - [19288, 'lewis-a.txt']
0.780952380952 - [19876, 'platter-p.txt']
0.788461538462 - [21285, 'keavey-p.txt']
0.78640776699 - [21684, 'fischer-m.txt']
0.78431372549 - [23261, 'rapp-b.txt']
