0.777027027027 - [269, 'merriss-s.txt']
0.78231292517 - [313, 'linder-e.txt']
0.787671232877 - [356, 'phanis-s.txt']
0.793103448276 - [679, 'king-j.txt']
0.798611111111 - [1067, 'townsend-j.txt']
0.797202797203 - [1272, 'ermis-f.txt']
0.802816901408 - [1447, 'motley-m.txt']
0.808510638298 - [1732, 'meyers-a.txt']
0.814285714286 - [1741, 'gilbertsmith-d.txt']
0.820143884892 - [2147, 'south-s.txt']
0.81884057971 - [2243, 'benson-r.txt']
0.817518248175 - [2413, 'maggi-m.txt']
0.816176470588 - [3040, 'shapiro-r.txt']
0.822222222222 - [3591, 'williams-j.txt']
0.828358208955 - [3612, 'badeer-r.txt']
0.827067669173 - [3612, 'bailey-s.txt']
0.833333333333 - [4098, 'saibi-e.txt']
0.832061068702 - [4394, 'panus-s.txt']
0.830769230769 - [4469, 'dean-c.txt']
0.829457364341 - [5019, 'reitmeyer-j.txt']
0.828125 - [5466, 'griffith-j.txt']
0.834645669291 - [5976, 'gang-l.txt']
0.833333333333 - [6018, 'solberg-g.txt']
0.832 - [6176, 'may-l.txt']
0.83064516129 - [6239, 'slinger-r.txt']
0.829268292683 - [6318, 'arora-h.txt']
0.83606557377 - [6879, 'mckay-b.txt']
0.834710743802 - [7188, 'pimenov-v.txt']
0.841666666667 - [7334, 'stepenovitch-j.txt']
0.848739495798 - [7708, 'swerzbin-m.txt']
0.847457627119 - [7772, 'donohoe-t.txt']
0.846153846154 - [8209, 'holst-k.txt']
0.853448275862 - [8361, 'quenet-j.txt']
0.852173913043 - [8814, 'lokey-t.txt']
0.859649122807 - [9493, 'hodge-j.txt']
0.867256637168 - [9525, 'salisbury-h.txt']
0.875 - [9536, 'staab-t.txt']
0.873873873874 - [9662, 'storey-g.txt']
0.881818181818 - [9981, 'wolfe-j.txt']
0.880733944954 - [10271, 'scholtes-d.txt']
0.87962962963 - [10361, 'ring-r.txt']
0.878504672897 - [10615, 'whalley-g.txt']
0.877358490566 - [10716, 'lewis-a.txt']
0.87619047619 - [11042, 'platter-p.txt']
0.884615384615 - [11825, 'keavey-p.txt']
0.893203883495 - [12047, 'fischer-m.txt']
0.892156862745 - [12923, 'rapp-b.txt']
0.90099009901 - [14078, 'baughman-d.txt']
0.9 - [14123, 'sanchez-m.txt']
0.909090909091 - [15133, 'dickson-s.txt']
0.918367346939 - [16704, 'ybarbo-p.txt']
0.917525773196 - [17051, 'hendrickson-s.txt']
0.916666666667 - [17066, 'whitt-m.txt']
0.915789473684 - [17107, 'mccarty-d.txt']
0.914893617021 - [17891, 'ring-a.txt']
0.924731182796 - [19796, 'schwieger-j.txt']
0.923913043478 - [20680, 'lucci-p.txt']
0.934065934066 - [20863, 'zufferli-j.txt']
0.933333333333 - [23026, 'carson-m.txt']
0.932584269663 - [23438, 'geaccone-t.txt']
0.931818181818 - [24194, 'parks-j.txt']
0.931034482759 - [25881, 'semperger-c.txt']
0.93023255814 - [26461, 'thomas-p.txt']
0.941176470588 - [27189, 'shively-h.txt']
0.940476190476 - [28016, 'zipper-a.txt']
0.939759036145 - [28492, 'schoolcraft-d.txt']
0.939024390244 - [28533, 'derrick-j.txt']
0.938271604938 - [28559, 'brawner-s.txt']
0.9375 - [29104, 'hernandez-j.txt']
0.936708860759 - [29558, 'mckay-j.txt']
0.935897435897 - [29825, 'donoho-l.txt']
0.935064935065 - [31142, 'martin-t.txt']
0.934210526316 - [31319, 'lokay-m.txt']
0.933333333333 - [35249, 'keiser-k.txt']
0.932432432432 - [36275, 'davis-d.txt']
0.931506849315 - [36485, 'lay-k.txt']
0.944444444444 - [36956, 'hayslett-r.txt']
0.943661971831 - [36982, 'pereira-s.txt']
0.942857142857 - [37311, 'quigley-d.txt']
0.95652173913 - [37322, 'sturm-f.txt']
0.955882352941 - [38533, 'white-s.txt']
0.970149253731 - [39174, 'whalley-l.txt']
0.969696969697 - [39915, 'cuilla-m.txt']
0.984615384615 - [42495, 'guzman-m.txt']
0.984375 - [44744, 'hyatt-k.txt']
0.984126984127 - [44838, 'gay-r.txt']
0.983870967742 - [50785, 'mclaughlin-e.txt']
0.983606557377 - [51708, 'causholli-m.txt']
0.983333333333 - [52838, 'neal-s.txt']
0.983050847458 - [52873, 'tycholiz-b.txt']
0.98275862069 - [56172, 'weldon-c.txt']
1.0 - [56533, 'ruscitti-k.txt']
1.0 - [56682, 'tholt-j.txt']
1.0 - [57190, 'hain-m.txt']
1.0 - [63872, 'kuykendall-t.txt']
1.0 - [64096, 'shankman-j.txt']
1.0 - [65148, 'buy-r.txt']
1.0 - [66947, 'horton-s.txt']
1.0 - [70878, 'presto-k.txt']
1.0 - [73342, 'forney-j.txt']
1.0 - [78818, 'watson-k.txt']
1.0 - [79736, 'dorland-c.txt']
1.0 - [81459, 'blair-l.txt']
1.0 - [81967, 'haedicke-m.txt']
